year,month,product_code,y,income_outcome
1995,1,8414,17424795,1
1995,1,8415,1394220,1
1995,1,8418,7661309,1
1995,1,8421,6001693,1
1995,1,8422,2326816,1
1995,1,8450,4745324,1
1995,1,8508,4382011,1
1995,1,8509,2240505,1
1995,1,8516,3780457,1
1995,1,8528,25197722,1
1995,1,8531,1001096,1
1995,1,8418,676126,0
1995,1,8421,79825,0
1995,1,8516,16273,0
1995,1,8528,2993,0
1995,2,8414,13711283,1
1995,2,8415,1920684,1
1995,2,8418,5086199,1
1995,2,8421,18665839,1
1995,2,8422,7046538,1
1995,2,8450,1763006,1
1995,2,8508,2311828,1
1995,2,8509,1469801,1
1995,2,8516,2910637,1
1995,2,8528,17859756,1
1995,2,8531,74064,1
1995,2,8414,1915,0
1995,2,8418,439134,0
1995,2,8509,1695,0
1995,2,8516,36073,0
1995,2,8528,673878,0
1995,3,8414,21107593,1
1995,3,8415,3770276,1
1995,3,8418,7600046,1
1995,3,8421,12374708,1
1995,3,8422,3722594,1
1995,3,8450,4867424,1
1995,3,8508,1467106,1
1995,3,8509,1265008,1
1995,3,8516,3107025,1
1995,3,8528,21573435,1
1995,3,8531,2172283,1
1995,3,8414,6780,0
1995,3,8415,47460,0
1995,3,8418,123458,0
1995,3,8421,13600,0
1995,3,8516,1017,0
1995,4,8414,16197823,1
1995,4,8415,3566334,1
1995,4,8418,12239033,1
1995,4,8421,6179629,1
1995,4,8422,2091853,1
1995,4,8450,2966894,1
1995,4,8508,1447155,1
1995,4,8509,3360221,1
1995,4,8516,4516713,1
1995,4,8528,8810670,1
1995,4,8531,2063463,1
1995,4,8415,104755,0
1995,4,8418,3021,0
1995,4,8421,27700,0
1995,4,8508,2500,0
1995,4,8509,6102,0
1995,4,8516,98649,0
1995,4,8531,2992,0
1995,5,8414,37758204,1
1995,5,8415,1999369,1
1995,5,8418,7610380,1
1995,5,8421,6905674,1
1995,5,8422,4920692,1
1995,5,8450,2275769,1
1995,5,8508,1151096,1
1995,5,8509,1959875,1
1995,5,8516,3461703,1
1995,5,8528,32305751,1
1995,5,8531,998174,1
1995,5,8414,1190,0
1995,5,8415,12000,0
1995,5,8418,573780,0
1995,5,8508,1020,0
1995,5,8516,44382,0
1995,6,8414,29807762,1
1995,6,8415,2191835,1
1995,6,8418,9571755,1
1995,6,8421,9074973,1
1995,6,8422,18137815,1
1995,6,8450,4571708,1
1995,6,8508,1417561,1
1995,6,8509,616703,1
1995,6,8516,4969756,1
1995,6,8528,11607458,1
1995,6,8531,1383077,1
1995,6,8421,40815,0
1995,6,8450,2040,0
1995,7,8414,29237357,1
1995,7,8415,6921712,1
1995,7,8418,13996931,1
1995,7,8421,6189575,1
1995,7,8422,10343975,1
1995,7,8450,4983031,1
1995,7,8508,4084894,1
1995,7,8509,2368236,1
1995,7,8516,3360616,1
1995,7,8528,31928122,1
1995,7,8531,677924,1
1995,7,8415,25000,0
1995,7,8418,1084305,0
1995,7,8421,63579,0
1995,7,8450,2584,0
1995,7,8516,356,0
1995,7,8528,6528,0
1995,8,8414,34999664,1
1995,8,8415,5503991,1
1995,8,8418,13794988,1
1995,8,8421,9209229,1
1995,8,8422,10454678,1
1995,8,8450,3487995,1
1995,8,8508,1210707,1
1995,8,8509,1889688,1
1995,8,8516,2769581,1
1995,8,8528,23385052,1
1995,8,8531,1333042,1
1995,8,8415,153956,0
1995,8,8418,550185,0
1995,8,8450,2459,0
1995,8,8508,1500,0
1995,8,8516,7058,0
1995,8,8528,762750,0
1995,9,8414,16635410,1
1995,9,8415,7120747,1
1995,9,8418,11953385,1
1995,9,8421,6838232,1
1995,9,8422,10669725,1
1995,9,8450,4394527,1
1995,9,8508,1909845,1
1995,9,8509,2145375,1
1995,9,8516,2990848,1
1995,9,8528,19813262,1
1995,9,8531,1417982,1
1995,9,8418,287470,0
1995,9,8509,7628,0
1995,9,8516,34063,0
1995,10,8414,18653999,1
1995,10,8415,5259031,1
1995,10,8418,11465906,1
1995,10,8421,4406772,1
1995,10,8422,15480582,1
1995,10,8450,4856623,1
1995,10,8508,1569239,1
1995,10,8509,1509364,1
1995,10,8516,2299336,1
1995,10,8528,21634836,1
1995,10,8531,1616696,1
1995,10,8414,68586,0
1995,10,8415,25086,0
1995,10,8418,901000,0
1995,10,8421,4492,0
1995,10,8422,27370,0
1995,10,8450,2108,0
1995,10,8509,2346,0
1995,10,8516,98047,0
1995,10,8528,1144865,0
1995,11,8414,22134837,1
1995,11,8415,3400201,1
1995,11,8418,8600694,1
1995,11,8421,6467707,1
1995,11,8422,14555540,1
1995,11,8450,11926663,1
1995,11,8508,1545114,1
1995,11,8509,555807,1
1995,11,8516,2465429,1
1995,11,8528,26767261,1
1995,11,8531,1265556,1
1995,11,8418,114107,0
1995,11,8421,61645,0
1995,11,8508,35107,0
1995,11,8516,85197,0
1995,11,8531,5610,0
1995,12,8414,30635815,1
1995,12,8415,2178085,1
1995,12,8418,12046039,1
1995,12,8421,5505510,1
1995,12,8422,5569106,1
1995,12,8450,8773676,1
1995,12,8508,2862143,1
1995,12,8509,2114430,1
1995,12,8516,5652630,1
1995,12,8528,26752690,1
1995,12,8531,1470621,1
1995,12,8414,6018,0
1995,12,8422,1695,0
1995,12,8450,15463,0
1995,12,8509,1360,0
1995,12,8516,80596,0
1995,12,8528,3051,0
1996,1,8414,29287466,1
1996,1,8415,2039386,1
1996,1,8418,8325020,1
1996,1,8421,6953851,1
1996,1,8422,9095151,1
1996,1,8450,29040593,1
1996,1,8508,1624652,1
1996,1,8509,1472445,1
1996,1,8516,2024420,1
1996,1,8528,17418093,1
1996,1,8531,1552613,1
1996,1,8414,5468,0
1996,1,8418,45908,0
1996,1,8450,60260,0
1996,1,8508,14398,0
1996,1,8509,3356,0
1996,1,8516,165516,0
1996,2,8414,21496016,1
1996,2,8415,5770595,1
1996,2,8418,12028396,1
1996,2,8421,7390024,1
1996,2,8422,11651373,1
1996,2,8450,3151199,1
1996,2,8508,2007050,1
1996,2,8509,1528348,1
1996,2,8516,5056920,1
1996,2,8528,23190509,1
1996,2,8531,1088395,1
1996,2,8418,80089,0
1996,2,8421,861,0
1996,2,8422,9341,0
1996,2,8450,14756,0
1996,2,8516,74358,0
1996,2,8528,6780,0
1996,3,8414,39431925,1
1996,3,8415,3900647,1
1996,3,8418,12856551,1
1996,3,8421,6770481,1
1996,3,8422,13853040,1
1996,3,8450,1635235,1
1996,3,8508,780999,1
1996,3,8509,1211048,1
1996,3,8516,3422930,1
1996,3,8528,18413826,1
1996,3,8531,705564,1
1996,3,8414,264214,0
1996,3,8415,15770,0
1996,3,8418,332183,0
1996,3,8516,208862,0
1996,4,8414,34653973,1
1996,4,8415,3934081,1
1996,4,8418,12327952,1
1996,4,8421,6905678,1
1996,4,8422,8803895,1
1996,4,8450,2985091,1
1996,4,8508,1973155,1
1996,4,8509,1040926,1
1996,4,8516,1984214,1
1996,4,8528,11267982,1
1996,4,8531,636458,1
1996,4,8516,508,0
1996,5,8414,24788576,1
1996,5,8415,2264284,1
1996,5,8418,16785426,1
1996,5,8421,29802434,1
1996,5,8422,29461542,1
1996,5,8450,6961176,1
1996,5,8508,2593583,1
1996,5,8509,1054989,1
1996,5,8516,2252246,1
1996,5,8528,41185897,1
1996,5,8531,1610215,1
1996,5,8414,96674,0
1996,5,8415,169150,0
1996,5,8418,106331,0
1996,5,8421,3452,0
1996,5,8450,107631,0
1996,5,8509,5305,0
1996,5,8516,19172,0
1996,5,8531,1830,0
1996,6,8414,27238417,1
1996,6,8415,1429296,1
1996,6,8418,16428092,1
1996,6,8421,7222690,1
1996,6,8422,26332177,1
1996,6,8450,12643959,1
1996,6,8508,3071785,1
1996,6,8509,1380168,1
1996,6,8516,2982808,1
1996,6,8528,15769857,1
1996,6,8531,2990375,1
1996,6,8414,1700,0
1996,6,8415,27507,0
1996,6,8418,30309,0
1996,6,8421,13600,0
1996,6,8450,12882,0
1996,6,8516,9822,0
1996,6,8528,228344,0
1996,7,8414,35615688,1
1996,7,8415,3533868,1
1996,7,8418,23108649,1
1996,7,8421,23021212,1
1996,7,8422,20085357,1
1996,7,8450,5089425,1
1996,7,8508,2210210,1
1996,7,8509,940379,1
1996,7,8516,3111589,1
1996,7,8528,18374688,1
1996,7,8531,2029093,1
1996,7,8415,9531,0
1996,7,8418,118800,0
1996,7,8421,58538,0
1996,7,8422,43280,0
1996,7,8450,140263,0
1996,7,8508,28815,0
1996,7,8516,1578,0
1996,8,8414,48346020,1
1996,8,8415,8032011,1
1996,8,8418,12066679,1
1996,8,8421,95931134,1
1996,8,8422,23285462,1
1996,8,8450,11298488,1
1996,8,8508,3654171,1
1996,8,8509,920476,1
1996,8,8516,3290831,1
1996,8,8528,24818766,1
1996,8,8531,682647,1
1996,8,8414,13997,0
1996,8,8415,1188,0
1996,8,8418,331041,0
1996,8,8450,49459,0
1996,8,8509,2780,0
1996,8,8516,43867,0
1996,8,8528,14916,0
1996,9,8414,15852716,1
1996,9,8415,3565278,1
1996,9,8418,5980592,1
1996,9,8421,5349446,1
1996,9,8422,11834423,1
1996,9,8450,3064670,1
1996,9,8508,1333857,1
1996,9,8509,945788,1
1996,9,8516,3734497,1
1996,9,8528,9757346,1
1996,9,8531,1553170,1
1996,9,8414,17278,0
1996,9,8418,3508,0
1996,9,8450,55388,0
1996,9,8516,2210,0
1996,10,8414,23055914,1
1996,10,8415,1656875,1
1996,10,8418,9355646,1
1996,10,8421,5873866,1
1996,10,8422,11953099,1
1996,10,8450,5841452,1
1996,10,8508,1368800,1
1996,10,8509,1910879,1
1996,10,8516,2706646,1
1996,10,8528,16687279,1
1996,10,8531,909579,1
1996,10,8414,8497,0
1996,10,8415,13993,0
1996,10,8418,1020,0
1996,10,8421,62357,0
1996,10,8450,169449,0
1996,10,8516,1700,0
1996,11,8414,22501971,1
1996,11,8415,3522931,1
1996,11,8418,8076307,1
1996,11,8421,12173140,1
1996,11,8422,25516219,1
1996,11,8450,5333407,1
1996,11,8508,2404428,1
1996,11,8509,1201470,1
1996,11,8516,2676319,1
1996,11,8528,19201336,1
1996,11,8531,973145,1
1996,11,8415,10237,0
1996,11,8418,16620,0
1996,11,8421,99817,0
1996,11,8508,6797,0
1996,11,8509,5496,0
1996,11,8516,1020,0
1996,11,8528,116909,0
1996,12,8414,20013720,1
1996,12,8415,1584009,1
1996,12,8418,9305734,1
1996,12,8421,58454648,1
1996,12,8422,5002810,1
