8418_in,8450_in,8516_in,8421_in,8422_in,8528_in,8531_in,8508_in,8509_in,8414_in,8415_in,8418_out,8450_out,8516_out,8421_out,8422_out,8528_out,8531_out,8508_out,8509_out,8414_out,8415_out
7661309,4745324,3780457,6001693,2326816,25197722,1001096,4382011,2240505,17424795,1394220,676126,0,16273,79825,0,2993,0,0,0,0,0
5086199,1763006,2910637,18665839,7046538,17859756,74064,2311828,1469801,13711283,1920684,439134,0,36073,0,0,673878,0,0,1695,1915,0
7600046,4867424,3107025,12374708,3722594,21573435,2172283,1467106,1265008,21107593,3770276,123458,0,1017,13600,0,0,0,0,0,6780,47460
12239033,2966894,4516713,6179629,2091853,8810670,2063463,1447155,3360221,16197823,3566334,3021,0,98649,27700,0,0,2992,2500,6102,0,104755
7610380,2275769,3461703,6905674,4920692,32305751,998174,1151096,1959875,37758204,1999369,573780,0,44382,0,0,0,0,1020,0,1190,12000
9571755,4571708,4969756,9074973,18137815,11607458,1383077,1417561,616703,29807762,2191835,0,2040,0,40815,0,0,0,0,0,0,0
13996931,4983031,3360616,6189575,10343975,31928122,677924,4084894,2368236,29237357,6921712,1084305,2584,356,63579,0,6528,0,0,0,0,25000
13794988,3487995,2769581,9209229,10454678,23385052,1333042,1210707,1889688,34999664,5503991,550185,2459,7058,0,0,762750,0,1500,0,0,153956
11953385,4394527,2990848,6838232,10669725,19813262,1417982,1909845,2145375,16635410,7120747,287470,0,34063,0,0,0,0,0,7628,0,0
11465906,4856623,2299336,4406772,15480582,21634836,1616696,1569239,1509364,18653999,5259031,901000,2108,98047,4492,27370,1144865,0,0,2346,68586,25086
8600694,11926663,2465429,6467707,14555540,26767261,1265556,1545114,555807,22134837,3400201,114107,0,85197,61645,0,0,5610,35107,0,0,0
12046039,8773676,5652630,5505510,5569106,26752690,1470621,2862143,2114430,30635815,2178085,0,15463,80596,0,1695,3051,0,0,1360,6018,0
8325020,29040593,2024420,6953851,9095151,17418093,1552613,1624652,1472445,29287466,2039386,45908,60260,165516,0,0,0,0,14398,3356,5468,0
12028396,3151199,5056920,7390024,11651373,23190509,1088395,2007050,1528348,21496016,5770595,80089,14756,74358,861,9341,6780,0,0,0,0,0
12856551,1635235,3422930,6770481,13853040,18413826,705564,780999,1211048,39431925,3900647,332183,0,208862,0,0,0,0,0,0,264214,15770
12327952,2985091,1984214,6905678,8803895,11267982,636458,1973155,1040926,34653973,3934081,0,0,508,0,0,0,0,0,0,0,0
16785426,6961176,2252246,29802434,29461542,41185897,1610215,2593583,1054989,24788576,2264284,106331,107631,19172,3452,0,0,1830,0,5305,96674,169150
16428092,12643959,2982808,7222690,26332177,15769857,2990375,3071785,1380168,27238417,1429296,30309,12882,9822,13600,0,228344,0,0,0,1700,27507
23108649,5089425,3111589,23021212,20085357,18374688,2029093,2210210,940379,35615688,3533868,118800,140263,1578,58538,43280,0,0,28815,0,0,9531
12066679,11298488,3290831,95931134,23285462,24818766,682647,3654171,920476,48346020,8032011,331041,49459,43867,0,0,14916,0,0,2780,13997,1188
5980592,3064670,3734497,5349446,11834423,9757346,1553170,1333857,945788,15852716,3565278,3508,55388,2210,0,0,0,0,0,0,17278,0
9355646,5841452,2706646,5873866,11953099,16687279,909579,1368800,1910879,23055914,1656875,1020,169449,1700,62357,0,0,0,0,0,8497,13993
8076307,5333407,2676319,12173140,25516219,19201336,973145,2404428,1201470,22501971,3522931,16620,0,1020,99817,0,116909,0,6797,5496,0,10237
9305734,3747324,4403696,58454648,5002810,23729241,2520734,4292617,1148575,20013720,1584009,0,42840,77621,67112,0,0,0,12069,0,39118,4789
10480440,2372683,4320958,9783588,11853347,10584513,1032200,1739194,1372015,17169360,1228684,0,0,5505,3330,0,0,0,12406,0,1699,8592
5820289,3299024,2648785,4918875,4321491,10507812,723253,1250306,1077988,9379076,1012600,0,30317,141449,2549,40785,2549,0,0,3399,510,0
10836638,1754485,4760684,6105197,10108623,14541407,1084459,2459872,1061128,22787896,1700685,10798,3059,0,0,0,0,0,0,0,0,9285
9217832,2896875,1953787,9962096,8841779,8357605,850374,3095154,977374,13061800,1058259,0,43694,27663,0,0,0,0,0,510,0,6675
13957457,5834163,3592338,10734033,4854851,10124719,1714421,3333433,1212215,33864154,6313810,285494,4497,8934,13704,0,3875,0,0,0,133768,59415
9248396,10039827,3177233,11568858,8776444,11180253,2653423,5539637,758307,23339095,1448642,76217,11046,16221,66381,0,5300,0,0,0,16307,155429
15339537,3908340,4567830,11135556,5944977,11287626,1580580,1326522,2266323,42424055,4335234,723901,131374,1098793,35933,31918,0,0,0,5080,82421,63326
25662837,9731500,4525657,8522486,7946394,36650729,2666140,4091166,2540211,33330163,4136893,2998,0,43571,6118,5561,0,0,0,0,7470,46206
9752032,6789589,5128829,19395439,10087476,40471629,3007689,1075461,1109403,33344473,5151846,46387,1700,27021,0,0,10196,6709,0,2213,24060,26735
18046159,5937292,3830093,7285862,4964122,27345362,2062651,1771674,2092681,23410453,4407485,238718,510,46217,0,0,869290,0,0,340,10673,64382
17257008,3793046,6168651,6458015,8580134,27462134,3494602,4362153,2858289,26036662,3240918,323210,0,92752,1285,0,1278471,0,0,0,28196,5733
17756448,5419425,5168675,5410912,6318263,19461916,2643424,1184487,4299731,38494113,4376327,12716,0,22144,0,0,0,0,0,2000,36953,28244
9805056,5495682,5058763,8864431,9006404,16793782,2240213,1661591,4045992,24059589,8103069,94908,1020,47732,0,0,0,0,0,407272,75668,28520
16395809,7482933,3601909,9782169,24142946,18739809,1898609,2481588,1745663,33629533,6708718,90949,0,22793,0,0,16320,0,0,3230,69657,93782
28744001,5104416,7193600,17766819,9454897,13480254,2135439,872469,2308902,43176069,9097167,54864,13532,70923,8500,1020,148194,0,0,81206,1799,39575
